IOF ID;First Name;Last Name;Country;WRS Position;WRS points;WRS events;Avg point;Region Pos
31835;Samuli;Peltola;FIN;401;5821;5;1164.2;
14821;Biel;Rafols Perramon;ESP;402;5820;5;1164.0;
33017;Tobias;Jern;FIN;403;5818;5;1163.6;
17146;Alessio;Tenani;ITA;403;5818;5;1163.6;
17015;Vesa;Taanila;FIN;405;5815;5;1163.0;
8680;Roberto;Dallavalle;ITA;405;5815;5;1163.0;
34564;Raphael;Schalbetter;SUI;407;5813;5;1162.6;
15659;Javier;Ruiz de la Herran Pidal;ESP;408;5809;5;1161.8;
33440;Rotem;Yogev;ISR;408;5809;5;1161.8;
22291;Clement;Demeuse;BEL;410;5807;5;1161.4;
31947;Arttu;Lindqvist;FIN;411;5805;5;1161.0;
15586;Tiago Cantante;Romao;POR;412;5804;5;1160.8;
36095;Quim;Vich Diaz Guerra;ESP;413;5801;5;1160.2;
31842;Akseli;Virtanen;FIN;413;5801;5;1160.2;
44558;Philip;Lehmann Romoren;NOR;415;5800;5;1160.0;
42443;Mattias;Kallhauge;SWE;415;5800;5;1160.0;
18771;Martin;Ahlberger;SWE;417;5799;5;1159.8;
43671;Axel;Olsson;SWE;417;5799;5;1159.8;
19137;Endijs;Titomers;LAT;419;5798;5;1159.6;
16991;Ats;Sonajalg;EST;420;5794;5;1158.8;
36100;Pasi;Ikonen;FIN;420;5794;5;1158.8;
44064;Linus;Lundberg;SWE;422;5793;5;1158.6;
43612;Emil;Ohlund;SWE;423;5792;5;1158.4;
35336;Ewan;Shingler;AUS;424;5791;5;1158.2;
31936;Tuukka;Maekinen;FIN;425;5790;5;1158.0;
13247;Oleksandr;Marchuk;UKR;426;5789;5;1157.8;
24250;Ollipekka;Heikkila;FIN;426;5789;5;1157.8;
32240;Medard;Feder;SVK;428;5786;5;1157.2;
40834;Jekabs Niklavs;Janovs;LAT;429;5783;5;1156.6;
37651;Dominic;Mueller;SUI;430;5778;5;1155.6;
25291;Peter;Divin;HUN;430;5778;5;1155.6;
18819;Karl;Enges;SWE;430;5778;5;1155.6;
34104;Jurgen;Joonas;EST;433;5777;5;1155.4;
16867;Miika;Suominen;FIN;434;5776;5;1155.2;
36517;Emil;Aberg;SWE;435;5775;5;1155.0;
37585;Peleg;Mitzafon;ISR;435;5775;5;1155.0;
33345;Anton;Silier;GER;437;5773;5;1154.6;
40686;Simen Spets;Storhov;NOR;437;5773;5;1154.6;
25091;Anssi;Huostila;FIN;437;5773;5;1154.6;
25731;Sebastian;Daland;NOR;440;5772;5;1154.4;
41930;Joseph;Barrett;USA;441;5771;5;1154.2;
37839;Tomas;Janovsky;CZE;442;5770;5;1154.0;
16476;Aidan;Smith;GBR;443;5769;5;1153.8;
33577;Jekabs;Locmelis;LAT;444;5768;5;1153.6;
11402;Ahmet;Kacmaz;TUR;445;5767;5;1153.4;
32855;Atte;Nokka;FIN;446;5764;5;1152.8;
43572;Ilmari;Aho;FIN;446;5764;5;1152.8;
41975;Lukas;Olm;SWE;448;5762;5;1152.4;
9068;Moritz;Doellgast;GER;449;5759;5;1151.8;
37520;Eljas;Talja;FIN;449;5759;5;1151.8;
25395;Pranas;Germanavicius;LTU;449;5759;5;1151.8;
46236;Victor;Hansson;SWE;452;5757;5;1151.4;
28118;Lasse Falck;Weber;DEN;453;5752;5;1150.4;
26098;Eero;Lapila;FIN;454;5751;5;1150.2;
27376;Kevinas;Olisauskis;LTU;454;5751;5;1150.2;
42132;Elia;Ren;SUI;456;5750;5;1150.0;
6827;Emil;Ahlbeck;NOR;457;5749;5;1149.8;
9048;Mikolaj;Dutkowski;POL;458;5748;5;1149.6;
33633;Tymofii;Teremetskyi;UKR;459;5747;5;1149.4;
17389;Jaagup;Truusalu;EST;460;5740;5;1148.0;
41847;Brais;Pineiro Fraga;ESP;461;5739;5;1147.8;
36326;Ville;Pasanen;FIN;462;5738;5;1147.6;
36515;Ricardo;Schaniel;USA;463;5737;5;1147.4;
23021;Alasdair;Pedley;GBR;464;5735;5;1147.0;
13814;Colm;Moran;IRL;464;5735;5;1147.0;
9178;Matthew;Elkington;GBR;466;5734;5;1146.8;
37774;Stanislaw;Pachnik;POL;467;5731;5;1146.2;
33891;Theis;Munktved;DEN;467;5731;5;1146.2;
16684;Dawid;Stefanski;POL;467;5731;5;1146.2;
24744;Aaro;Ruohola;FIN;467;5731;5;1146.2;
17838;Philip;Vokes;GBR;471;5730;5;1146.0;
7666;Duncan;Birtwistle;GBR;472;5729;5;1145.8;
9484;Espen;Fiskum;NOR;473;5728;5;1145.6;
40344;Olof;Skoglund;SWE;474;5727;5;1145.4;
33241;Flurry;Grierson;GBR;474;5727;5;1145.4;
25115;Anton;Salmenkyla;USA;476;5723;5;1144.6;
